,index,alpha2016-08-31,index,alpha2017-08-31,index,alpha2018-08-31,index,alpha2019-08-31
0,NOBL.P,-0.00464901318005163,VAMO.P,-0.0075829638867215485,DEEP.P,-0.00721466544964784,WBIY.P,-0.0025218945228372737
1,NULV.P,-0.004577542573026369,ONEO.P,-0.0074986959196573074,VAMO.P,-0.007031153719628454,SPLV.P,-0.0024993602403048346
2,VAMO.P,-0.00433811444748897,PWV.P,-0.007471407186388719,WBIF.P,-0.006917154277974001,DEEP.P,-0.0024756108219789264
3,WBIY.P,-0.00427999950636202,LRGF.P,-0.00746491689441779,PTLC.P,-0.006903925600215327,CVY.P,-0.0024147612961361777
4,IWD.P,-0.004097156743421428,PWC.P,-0.007450224060052902,RPV.P,-0.0068418737305287495,HUSV.P,-0.0023587632416261764
5,PWV.P,-0.004096665575626237,SPHB.P,-0.007428418058409357,WBIL.P,-0.006805710667614438,SPVU.P,-0.002331693530302721
6,SURE.P,-0.004065072282514667,ILCB.P,-0.007413558704830605,LRGF.P,-0.006802833480739956,ILCV.P,-0.0023213688726338036
7,IWX.P,-0.004056128727724652,RPG.P,-0.007412358004224151,RFFC.P,-0.0067948589539564815,RPV.P,-0.002320101360521251
8,IVE.P,-0.004055783792934932,DEEP.P,-0.007411240960968473,PWV.P,-0.006772140301622621,DEUS.P,-0.0023190816591860345
9,SCHV.P,-0.0040549306624067475,SPHQ.P,-0.007406138464278168,ROUS.P,-0.006753861163309919,FVD.P,-0.002313601970694364
10,FVD.P,-0.004054532282972524,WBIY.P,-0.007393778554168612,COWZ.P,-0.006748544455852004,LGLV.P,-0.002310765354182576
11,SPHQ.P,-0.004053555596255152,RFFC.P,-0.007376022487864431,WBIY.P,-0.006738254185970963,SCHV.P,-0.002305210256455037
12,ILCV.P,-0.004052997213284366,COWZ.P,-0.007370614406971945,ILCV.P,-0.006735625005353768,DIA.P,-0.002301087036619131
13,SPYV.P,-0.004052041486657491,SCHV.P,-0.007368207176273269,SPVU.P,-0.006705524091312477,RFFC.P,-0.002294530152086195
14,ONEO.P,-0.004043130162211318,WBIL.P,-0.007368043103307783,VTV.P,-0.006702996258737539,PWV.P,-0.0022881638713479553
15,CVY.P,-0.004041106980931944,XLG.P,-0.007361778946917902,SCHV.P,-0.006697071837878899,ROUS.P,-0.0022879191797411888
16,SPLV.P,-0.004039293691062619,QQQE.P,-0.00735991549134629,MGV.P,-0.0066958824645041,XRLV.P,-0.0022840173201896024
17,DSI.P,-0.0040350702152089305,PRF.P,-0.0073579141362801505,SPHB.P,-0.00669517886242612,DLN.P,-0.0022785828965391722
18,VOOV.P,-0.004031901617945022,WBIF.P,-0.0073575479033409835,DIA.P,-0.006645163458140115,IWX.P,-0.0022756815136247624
19,SUSA.P,-0.004030333147884779,IWD.P,-0.007357366713102991,IWX.P,-0.006643803821426721,PWC.P,-0.0022711991173480313
89,DIA.P,-0.0038163870371489893,SPVU.P,-0.007219570626024226,SIZE.P,-0.006446491480605839,IVW.P,-0.001967623873067953
90,WTV.P,-0.0037824095028517603,SPXE.P,-0.007217587531580811,PWB.P,-0.0064431024825555815,SPGP.P,-0.001964698706465872
91,ROUS.P,-0.0037718454382581197,SPXT.P,-0.007216103277122493,FLLV.P,-0.0064309468406926786,QLC.P,-0.0019639894707819687
92,TTAC.P,-0.0037697536804297007,LEAD.P,-0.007211282765209591,IWP.P,-0.006419523483562311,QQQE.P,-0.001959481783204738
93,WBIF.P,-0.0037692656073772773,NULV.P,-0.007207632198003848,IWF.P,-0.006411440058008146,XLG.P,-0.00195796312785129
94,SPGP.P,-0.003741764163040255,GURU.P,-0.0071994133054035705,SUSA.P,-0.006409155585893355,ILCG.P,-0.0019407523721824847
95,DUSA.P,-0.00371711499352477,ACSI.P,-0.007198911849003311,IWY.P,-0.00640723340668328,DUSA.P,-0.0019355061970947503
96,DEEP.P,-0.0037104597209944084,WTV.P,-0.007198186913378388,XRLV.P,-0.006385919417732201,IWF.P,-0.0019178679178871545
97,FLLV.P,-0.0036886466996978065,SPXV.P,-0.007192596411661771,QMOM.P,-0.006382895645783883,SUSA.P,-0.0019152522262858873
98,MMTM.P,-0.0036841731789656993,HUSV.P,-0.00718630493904564,VUG.P,-0.006367035036194191,COWZ.P,-0.0018962612922015453
99,SPMO.P,-0.003678114329510131,SPLV.P,-0.007172953958266585,QQQE.P,-0.006357699347209497,VUG.P,-0.0018956079719184042
100,SPVU.P,-0.0036311335529125945,IWP.P,-0.007170161923189452,MGK.P,-0.00634923571643311,SCHG.P,-0.001895042163012368
101,VLU.P,-0.003629627288899541,TTAC.P,-0.007167132350444503,SCHG.P,-0.006342156225637774,MGK.P,-0.0018945412280234892
102,SPXT.P,-0.003611417260902957,XRLV.P,-0.007164789951510196,CWS.P,-0.006308650494418716,SPHB.P,-0.0018749509965464038
103,ESG.P,-0.0035605996342231334,SPXN.P,-0.007164262646523815,ILCG.P,-0.006307765151380686,ESG.P,-0.001873421097270972
104,SPXE.P,-0.003547932747671603,ESG.P,-0.007145371594195054,NULG.P,-0.006288371850626671,IWY.P,-0.0018708011983229475
105,SPXV.P,-0.003493295591813766,NULG.P,-0.0071363234088739295,LGLV.P,-0.006273985987067204,LEAD.P,-0.0018352283674000493
106,CWS.P,-0.0034232509110532125,LGLV.P,-0.007119432537039564,ACSI.P,-0.006250855672793039,VAMO.P,-0.0017971144767635876
107,SPXN.P,-0.0034115417510485932,CWS.P,-0.007042795640997561,ESG.P,-0.006237649550406357,NULG.P,-0.0017873143475176294
108,COWZ.P,-0.0033530398327019043,FLLV.P,-0.007040601707567806,LEAD.P,-0.006184069202318727,ACSI.P,-0.0016051109455337035
